March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Dupont,31.9,12.9,19,"$3,031.50",$835.45,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Bowman,14.7,14.7,0,"$3,454.50",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Parker,29.5,28.7,0.8,"$7,175.00",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Total,879.45,682.2,197.25,"$153,809.75","$7,118.53",data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+2.pdf
"o Tucson International Airport - Google Maps 6/30/16, 11:21 PM",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+2.pdf
"0.1 mi
6. Use the left lane to take the Interstate 10 E ramp
0.3 mi
Follow I-10 E to Kino Pkwy/South Kino Pkwy in Tucson. Take exit 263A from I-10 E
16 min (17.4 mi)
7. Merge onto I-10 E
16.8 mi
8. Take exit 263A for Kino Pkwy S toward Tucson International
0.6 mi
Drive to S Tucson Blvd
7 min (3.7 mi)
9. Merge onto Kino Pkwy/South Kino Pkwy
0.3 mi
10. Turn left onto E Benson Hwy
0.6 mi
11. Continue straight onto S Tucson Blvd
2.7 mi
Tucson International Airport
7250 South Tucson Boulevard, Tucson, AZ 85756
These directions are for planning purposes only. You may Fnd that construction projects,
trafFc, weather, or other events may cause conditions to differ from the map results, and
you should plan your route accordingly. You must obey all signs or notices regarding your
route.",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+2.pdf
,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+2.pdf
November,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Thompson,76.4,48.6,27.8,"$23,085.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Rosenthal,95.3,73.7,21.6,"$35,007.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Aden,48,39.5,8.5,"$9,282.50",$306.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Barge,42,40.5,1.5,"$9,517.50","$1,418.37",data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Drake,9.5,6.4,3.1,"$1,504.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Drake (Exec. Ass't),34.3,34.3,0,"$1,286.25",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Joyce,15,11,4,"$2,585.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Meares,13.8,13.8,0,"$3,243.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
O'Toole,0.6,0.6,0,$141.00,$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Ramsey,27.7,24.3,3.4,"$5,710.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Smoot,22.1,14.1,8,"$3,313.50","$1,033.64",data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Villasenor,34.1,34.1,0,"$8,013.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Ray Kelly,24.7,17.7,7,"$4,159.50","$1,671.60",data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Darnyle Wharton,55.7,55.7,0,"$4,177.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Neighborhood Liaisons,91.1,91.1,0,"$1,822.00",$225.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Dupont,54.6,27.3,27.3,"$6,415.50",$989.44,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Bowman,14.2,14.2,0,"$3,337.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Maxey,7.7,6.2,1.5,"$1,457.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
Total,659.1,553.1,113.7,"$124,057.75","$5,644.05",data/pdfs/page-4/2019/Invoice+Package+November+2019(48244471.1)+(1).pdf
May,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Thompson,37.8,12.6,25.2,"$5,985.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Rosenthal,77.9,51.9,26,"$24,652.50",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Aden,68.5,62.5,6,"$14,687.50",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Barge,44.8,32.5,12.3,"$7,637.50","$1,365.34",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Bethel,23,23,0,"$5,405.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Drake,11.9,9.2,2.7,"$2,162.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Drake (Exec. Ass't),51.4,51.4,0,"$1,927.50",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Joyce,16,16,0,"$3,760.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Meares,6,6,0,"$1,410.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
O’Toole,9.3,6.8,2.5,"$1,598.00",$342.71,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Ramsey,88.1,78.1,10,"$18,353.50",$969.77,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Smoot,94,76,18,"$17,860.00","$3,084.17",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Villasenor,74.8,40.8,34,"$9,588.00","$3,448.91",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Ray Kelly,20.1,20.1,0,"$4,723.50",$596.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Darnyle Wharton,36.1,36.1,0,"$2,707.50",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Neighborhood Liaisons,107.5,107.5,0,"$2,150.00",$225.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Dupont,33.2,16.5,16.7,"$3,877.50","$1,121.00",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Bowman,26,26,0,"$6,110.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Parker,8.5,8.5,0,"$2,125.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
"Rose Street Community
Center",0,0,0,"$8,500.00",$0.00,data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
Total,834.9,681.5,153.4,"$145,220.00","$11,152.90",data/pdfs/page-4/2019/May+2019+Omnibus+Invoice+Part+1.pdf
June,"Total
Hours","Billed
Hours","ProBono
Hours","TotalServices
Billed","TotalExpenses
Billed",data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Thompson,36,18,18,"$8,550.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Rosenthal,99.6,73.6,26,"$34,960.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Aden,56,53,3,"$12,455.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Barge,24.1,24.1,0,"$5,663.50",$288.93,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Bethel,23,23,0,"$5,405.00",$121.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Drake,22.1,18.8,3.3,"$4,418.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Drake (Exec.Ass't),50,50,0,"$1,875.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Joyce,14,14,0,"$3,290.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Meares,3.6,3.6,0,$846.00,$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
O’Toole,9.9,9.9,0,"$2,326.50",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Ramsey,30,30,0,"$7,050.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Smoot,65.5,44,21.5,"$10,340.00","$3,070.54",data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Villasenor,30.6,30.6,0,"$7,191.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
RayKelly,18.1,18.1,0,"$4,253.50",$436.52,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
DarnyleWharton,34.2,34.2,0,"$2,565.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
NeighborhoodLiaisons,113.35,113.35,0,"$2,267.00",$225.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Dupont,39.7,20.6,19.1,"$4,841.00",$811.45,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Bowman,26.7,26.7,0,"$6,274.50",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Parker,19,13.2,5.8,"$3,300.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
University ofToronto,0,0,0,"$21,587.25",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Morgan StateUniversity,0,0,0,"$64,145.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
"CommunityResources
forJustice",0,0,0,"$35,000.00",$0.00,data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
Total,715.45,618.75,96.7,"$248,603.25","$4,953.44",data/pdfs/page-4/2019/47274994-v1-June+2019+Invoice-converted.pdf
March,"Total
Hours","Billed
Hours","ProBono
Hours","TotalServices
Billed","TotalExpenses
Billed",data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Thompson,42.6,14.8,27.8,"$7,030.00",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Rosenthal,59.6,29.7,29.9,"$14,107.50",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Aden,49,38.5,10.5,"$9,047.50",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Barge,37.6,31.8,5.8,"$7,473.00",$595.96,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Bethel,13,13,0,"$3,055.00",$121.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Drake,13.4,9.1,4.3,"$2,138.50",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Drake (Exec.Ass't),68,68,0,"$2,550.00",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Joyce,18.5,12.5,6,"$2,937.50",$442.55,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Mears,7.2,7.2,0,"$1,692.00",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Ramsey,41.5,35.4,6.1,"$8,319.00",$533.04,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Smoot,53.5,34.5,19,"$8,107.50","$1,531.12",data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Villasenor,46.2,30.2,16,"$7,097.00","$1,095.76",data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
RayKelly,21.5,20,1.5,"$4,700.00",$45.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
DarnyleWharton,53.7,53.7,0,"$4,027.50",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
NeighborhoodLiaisons,73.3,73.3,0,"$1,466.00",$200.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Dupont,45.5,15.5,30,"$3,642.50","$1,313.58",data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Bowman,28.3,20,8.3,"$4,700.00",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Parker,8.3,8.3,0,"$2,075.00",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
University ofToronto,,,,"$7,195.75",$0.00,data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
Total,680.7,515.5,165.2,"$101,361.25","$5,878.01",data/pdfs/page-4/2019/46488553-v1-March+2019+Invoice+Package-converted.pdf
December,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Thompson,52.8,32.4,20.4,"$15,390.00",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Rosenthal,115.9,70.8,45.1,"$33,630.00",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Aden,34.5,28.5,6,"$6,697.50",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Barge,45.4,35.3,10.1,"$8,295.50",$862.95,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Drake,8.6,6.9,1.7,"$1,621.50",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Drake (Exec. Ass't),24,24,0,$900.00,$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Joyce,25.5,15.5,10,"$3,642.50",$434.63,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Meares,2.5,2.5,0,$587.50,$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Ramsey,24.4,21.9,2.5,"$5,146.50",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Smoot,21.5,21.5,0,"$5,052.50",$684.85,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Villasenor,60.5,28.5,32,"$6,697.50","$1,862.75",data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Ray Kelly,17.4,16.1,1.3,"$3,783.50",$38.73,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Darnyle Wharton,60,60,0,"$4,500.00",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Neighborhood Liaisons,112,112,0,"$2,240.00",$225.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Dupont,50.3,27,23.3,"$6,345.00","$1,118.64",data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Bowman,23.1,23.1,0,"$5,428.50",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Maxey,19.6,15.6,4,"$3,666.00",$0.00,data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
Total,678.4,541.6,156.4,"$113,624.00","$5,227.55",data/pdfs/page-4/2019/December+2019+Invoice+Package(48410156.1)+(1).pdf
August,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Thompson,36.6,29,7.6,"$13,775.00",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Rosenthal,48.5,34.9,13.6,"$16,577.50",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Aden,35,27.5,7.5,"$6,462.50",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Barge,44.7,43.1,1.6,"$10,128.50",$288.93,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Bethel,6,6,0,"$1,410.00",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Drake,10.1,5.6,4.5,"$1,316.00",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Drake (Exec. Ass't),41.5,41.5,0,"$1,556.25",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Joyce,24.5,20.5,4,"$4,817.50",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Meares,4,4,0,$940.00,$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
O'Toole,61.5,48.1,13.4,"$11,303.50","$1,354.16",data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Ramsey,31,25,6,"$5,875.00",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Smoot,66.7,46.2,20.5,"$10,857.00","$1,270.86",data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Villasenor,82.8,45.8,37,"$10,763.00","$2,782.03",data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Ray Kelly,27.3,19,8.3,"$4,465.00",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Darnyle Wharton,34.5,34.5,0,"$2,587.50",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Neighborhood Liaisons,113.1,113.1,0,"$2,262.00",$225.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Dupont,11.2,9.9,1.3,"$2,326.50",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Bowman,19.7,19.7,0,"$4,629.50",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Parker,20.7,15.8,4.9,"$3,950.00",$0.00,data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
Total,719.4,589.2,130.2,"$116,002.25","$5,920.98",data/pdfs/page-4/2019/August+2019+Invoice+Package.pdf
January,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Thompson,42.5,36.9,5.6,"$17,527.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Rosenthal,58.7,45.7,13.0,"$21,707.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Aden,41.6,39.3,2.3,"$9,235.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Barge,22.7,19.8,2.9,"$4,653.00",$279.49,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
CJI: Wasileski,5.0,5.0,0.0,"$1,000.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
CJI: Zafft,18.5,18.5,0.0,"$2,497.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Drake,16.4,10.4,6.0,"$2,444.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Drake (Exec. Ass't),3.0,3.0,0.0,$112.50,$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Goodrich,2.5,2.5,0.0,$587.50,$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Joyce,24.7,22.7,2.0,"$5,334.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Meares,3.0,3.0,0.0,$705.00,$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
O'Toole,2.3,2.3,0.0,$540.50,$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Ramsey,18.8,16.8,2.0,"$3,948.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Smoot,11.0,9.5,1.5,"$2,232.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Villasenor,33.4,29.8,3.6,"$7,003.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Kelly,20.5,16.1,4.4,"$3,783.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Dupont,19.8,15.4,4.4,"$3,619.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Bowman,34.2,24.7,9.5,"$5,804.50",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Maxey,22.2,17.2,5.0,"$4,042.00",$0.00,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
Total,595.8,533.6,62.2,"$103,977.50",$279.49,data/pdfs/page-4/2021/January+2021+Invoice+Package(51507775.1).pdf
August,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Thompson,57.2,38.2,19.0,"$18,145.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Rosenthal,68.9,45.7,23.2,"$21,707.50",$804.50,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Aden,52.8,45.9,6.9,"$10,786.50",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Barge,18.3,16.5,1.8,"$3,877.50",$360.31,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
CJI: Wasileski,15.0,15.0,0.0,"$3,525.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
CJI: Zafft,20.5,20.5,0.0,"$3,485.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Drake (Exec. Ass't),1.0,1.0,0.0,$37.50,$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Drake,8.0,8.0,0.0,"$1,880.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Goodrich,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Joyce,29.1,23.7,5.0,"$5,569.50",$212.81,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
McDonough,30.3,27.4,2.9,"$6,439.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Meares,8.9,8.9,0.0,"$2,091.50",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
O'Toole,19.4,19.4,0.0,"$4,559.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Ramsey,12.5,12.5,0.0,"$2,937.50",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Smoot,23.9,23.9,0.0,"$5,616.50","$1,039.57",data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Villasenor,44.7,41.1,3.6,"$9,658.50",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
M. Roberts III,26.5,26.5,0.0,"$1,987.50",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Neighborhood Liaisons,44.0,43.0,1.0,$860.00,$75.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Watts,35.0,35.0,0.0,"$8,225.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Dupont,43.8,2.2,41.6,$517.00,$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Bowman,13.3,13.3,0.0,"$3,125.50",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Maxey,24.8,20.6,4.2,"$4,841.00",$0.00,data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
Total,598.5,489.3,109.2,"$120,106.50","$2,492.19",data/pdfs/page-4/2021/September+2021+Invoice+Package(53700610.1).pdf
December,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Thompson,60.9,53.8,7.1,"$25,555.00",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Rosenthal,111.3,95.3,16.0,"$45,267.50",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Aden,33.4,28.3,5.1,"$6,650.50",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Barge,18.7,16.9,1.8,"$3,971.50",$281.11,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
CJI: Wasileski,10.0,10.0,0.0,"$2,350.00",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
CJI: Zafft,27.0,27.0,0.0,"$4,590.00",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Drake,6.6,6.6,0.0,"$1,551.00",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Joyce,26.0,26.0,0.0,"$6,110.00",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
McDonough,48.0,36.8,11.2,"$8,648.00",$67.89,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Meares,7.8,7.8,0.0,"$1,833.00",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
O'Toole,4.1,4.1,0.0,$963.50,$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Ramsey,17.5,17.5,0.0,"$4,112.50",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Sargent,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Smoot,2.0,2.0,0.0,$470.00,$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Villasenor,52.6,47.3,5.3,"$11,115.50",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
